;F49-Concanavalin A-CD-IR.txt	
;F49	
;Concanavalin A	
330	0.019965695
329	0.023929944
328	-0.007623557
327	-0.03094056
326	-0.024837893
325	-0.030693702
324	-0.031201196
323	0.009364198
322	0.013136467
321	0.02115531
320	0.030099396
319	0.019470402
318	0.021876104
317	0.021187976
316	-0.002903688
315	-0.001457958
314	-0.015035808
313	-0.013617848
312	0.008849339
311	0.004060333
310	0.001966147
309	-0.002241203
308	-0.024968834
307	-0.012723432
306	-0.013673126
305	-0.006554861
304	-0.000806894
303	0.001574138
302	0.00513067
301	0.01907533
300	0.024604054
299	0.023562535
298	-0.004361679
297	-0.01220016
296	-0.017325245
295	0.003113846
294	0.026158652
293	0.035592879
292	0.042416773
291	0.034603346
290	0.014707376
289	0.023726671
288	0.025008169
287	0.010024289
286	0.003744697
285	0.006415514
284	0.001771698
283	0.019049542
282	0.035777014
281	0.036821173
280	0.038484793
279	0.027379816
278	0.033505267
277	0.024303847
276	0.019905986
275	0.008015856
274	-0.007003331
273	-0.001734756
272	0.004669919
271	0.009704355
270	-0.007123796
269	-0.015000668
268	-0.020691187
267	-0.005780077
266	0.009589598
265	0.008323962
264	0.013591099
263	0.00723501
262	0.008294139
261	-0.001692326
260	-0.010422188
259	-0.004787161
258	0.005829295
257	0.01241733
256	0.002878596
255	-0.01700746
254	-0.012928549
253	-0.009889479
252	-0.00269592
251	-0.010951151
250	-0.029992351
249	-0.041948385
248	-0.037153618
247	-0.038806833
246	-0.044565019
245	-0.057638901
244	-0.06787665
243	-0.082023718
242	-0.11069492
241	-0.159749683
240	-0.184085907
239	-0.223868098
238	-0.263640269
237	-0.331600871
236	-0.406218821
235	-0.496378042
234	-0.592542414
233	-0.706561331
232	-0.860580673
231	-1.03696534
230	-1.215469232
229	-1.40052161
228	-1.576305189
227	-1.717032052
226	-1.820871294
225	-1.876578953
224	-1.923894695
223	-1.916144745
222	-1.886104731
221	-1.816988527
220	-1.739153844
219	-1.651974369
218	-1.572968755
217	-1.486826545
216	-1.408616099
215	-1.266097005
214	-1.097544663
213	-0.889274701
212	-0.672624014
211	-0.494030253
210	-0.299724294
209	-0.057986776
208	0.195074208
207	0.479115611
206	0.734779713
205	1.005712067
204	1.342169445
203	1.684482498
202	2.06260817
201	2.464515123
200	2.896335088
199	3.315055933
198	3.550282232
197	3.653730453
196	3.557671336
195	3.325068411
194	2.994508941
193	2.491151009
192	1.894404445
191	1.384884816
190	0.880341117
189	0.463951016
188	0.059970929
187	-0.342065645
186	-0.703901572
185	-1.060383285
184	-1.369291318
183	-1.678217058
182	-2.011713406
181	-2.303091489
180	-2.513784442
179	-2.779292872
178	-2.872591453
1600	0.203
1601	0.209
1602	0.216
1603	0.224
1604	0.233
1605	0.243
1606	0.254
1607	0.267
1608	0.281
1609	0.297
1610	0.314
1611	0.333
1612	0.353
1613	0.375
1614	0.398
1615	0.422
1616	0.449
1617	0.477
1618	0.506
1619	0.538
1620	0.573
1621	0.61
1622	0.65
1623	0.69
1624	0.731
1625	0.772
1626	0.81
1627	0.848
1628	0.884
1629	0.918
1630	0.949
1631	0.975
1632	0.993
1633	1
1634	0.996
1635	0.979
1636	0.955
1637	0.928
1638	0.9
1639	0.874
1640	0.85
1641	0.828
1642	0.808
1643	0.79
1644	0.774
1645	0.758
1646	0.742
1647	0.727
1648	0.712
1649	0.698
1650	0.685
1651	0.672
1652	0.659
1653	0.645
1654	0.631
1655	0.618
1656	0.606
1657	0.595
1658	0.584
1659	0.574
1660	0.563
1661	0.553
1662	0.543
1663	0.532
1664	0.52
1665	0.509
1666	0.498
1667	0.486
1668	0.475
1669	0.463
1670	0.451
1671	0.439
1672	0.426
1673	0.414
1674	0.403
1675	0.391
1676	0.379
1677	0.368
1678	0.357
1679	0.347
1680	0.337
1681	0.328
1682	0.32
1683	0.311
1684	0.303
1685	0.294
1686	0.285
1687	0.276
1688	0.269
1689	0.262
1690	0.255
1691	0.249
1692	0.243
1693	0.237
1694	0.229
1695	0.217
1696	0.201
1697	0.18
1698	0.159
1699	0.137
1700	0.116
1701	0.097
1702	0.08
1703	0.067
1704	0.056
1705	0.047
1706	0.039
1707	0.032
1708	0.025
1709	0.02
1710	0.016
1711	0.012
1712	0.009
1713	0.006
1714	0.004
1715	0.003
1716	0.002
1717	0.001
1718	0
1719	-0.001
1720	-0.002
1721	-0.003
1722	-0.004
1723	-0.004
1724	-0.005
1725	-0.005
1726	-0.006
1727	-0.007
1728	-0.008
1729	-0.009
1730	-0.009
1731	-0.01
1732	-0.01
1733	-0.01
1734	-0.01
1735	-0.011
1736	-0.012
1737	-0.013
1738	-0.013
1739	-0.012
1740	-0.012
1741	-0.012
1742	-0.012
1743	-0.012
1744	-0.012
1745	-0.012
1746	-0.011
1747	-0.011
1748	-0.01
1749	-0.01
1750	-0.009
1751	-0.008
1752	-0.008
1753	-0.008
1754	-0.008
1755	-0.008
1756	-0.007
1757	-0.007
1758	-0.006
1759	-0.006
1760	-0.005
1761	-0.004
1762	-0.004
1763	-0.004
1764	-0.004
1765	-0.003
1766	-0.003
1767	-0.002
1768	-0.001
1769	-0.001
1770	0
1771	0
1772	0.001
1773	0
1774	0
1775	-0.001
1776	-0.001
1777	-0.001
1778	-0.001
1779	-0.001
1780	-0.001
1781	-0.001
1782	-0.001
1783	-0.001
1784	-0.001
1785	-0.001
1786	-0.001
1787	-0.001
1788	-0.001
1789	-0.001
1790	0
1791	0
1792	0
1793	0
1794	0
1795	-0.001
1796	-0.001
1797	-0.001
1798	0
1799	0
1800	0
